metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
88147	8138	8	southwardly along the easterly line of the New York and Long Branch Railroad Company's right of way	S	\N		150	point or place of beginning		\N	0	\N	\N		\N
88148	8139	1	parallel with Moore Street to, along and beyond the center line of said alley	N	9.1333333333333	W	682.5	center of the proposed easterly extension of Guyot Avenue		\N	0	\N	\N		\N
88149	8139	2	along the same	N	80.866666666667	E	572.5	center of the proposed northerly extension of Chestnut Street, which is to be called Walnut Lane		\N	0	\N	\N		\N
88150	8139	3	along the same	S	9.1333333333333	E	1232.5	Princeton Borough line		\N	0	\N	\N		\N
88151	8139	4	westerly along the same		\N	W	572.5	center of the aforesaid ten feet wide alley		\N	0	-572.5	1e-13		\N
88152	8139	5	along the same, parallel with Moore Street	N	9.1333333333333	W	534	place of Beginning		\N	0	\N	\N		\N
88153	8140	1	on the west by the center line of Howe's Lane		\N		\N			\N	0	\N	\N		\N
88154	8140	2	on the south by the center of the Pennsylvania Railroad		\N		\N			\N	0	\N	\N		\N
88155	8140	3	on the east by the City line of the City of New Brunswick		\N		\N			\N	0	\N	\N		\N
88156	8141	1	along the Southerly line of the Borough of Montvale, it being the Northerly line of lands of Gustav Markovits	S	86.388888888889	E	324.54			\N	0	\N	\N		\N
88157	8141	2	being the Easterly line of said lands of Markovits	S	2.9	W	253.4			\N	0	\N	\N		\N
88158	8141	3	along the Southerly line of said lands of Markovits	N	85.375	W	208.32			\N	0	\N	\N		\N
88159	8141	4	along the Easterly line of lands of William Secor, Thomas F. Mettress, Jacob Bernath and Julius Ronay	S	3.0916666666667	W	554.5	northerly line of lands of Carrie Wildersin		\N	0	\N	\N		\N
88160	8141	5	along the said Northerly line of said lands of Carrie Wildersin	S	87.266666666667	E	481.6			\N	0	\N	\N		\N
88161	8141	6	along the Easterly line of said lands of Carrie Wildersin	S	2.7083333333333	W	319.44			\N	0	\N	\N		\N
88162	8141	7	still along the said Easterly line of said lands of Carrie Wildersin	S	2.3958333333333	W	654.77			\N	0	\N	\N		\N
88163	8141	8	along the Southerly line of said lands of Carrie Wildersin	N	88.133333333333	W	482.5	point which is the Northeasterly corner of lands of Charles Daehnke		\N	0	\N	\N		\N
