lawsectioneventid	lawsection	event	lawsectioneventrelationship	lawsectioneventnotes
58618	28912	54518	indirect	
58619	28912	15080	indirect	
58620	28912	2613	indirect	
58621	28912	2239	indirect	
58622	28912	2517	indirect	
58623	28912	53486	indirect	
58624	28912	53595	indirect	
58625	28912	53461	indirect	
58626	28912	53626	indirect	
58627	28912	11703	indirect	
58628	28912	53702	indirect	
58629	28912	53642	indirect	
58630	28912	53643	indirect	
58631	28912	53705	indirect	
58632	28912	53777	indirect	
58633	28912	54692	indirect	
58634	28912	53787	indirect	
58635	28912	21973	indirect	
58636	28912	21963	indirect	
58637	28912	21981	indirect	
58638	28912	21982	indirect	
58639	28912	21985	indirect	
58640	28912	21986	indirect	
58641	28912	2007	indirect	
58642	28912	2889	indirect	
58643	28912	9442	indirect	
58644	28912	2129	indirect	
58645	28912	2018	indirect	
58646	28912	50670	indirect	
58647	28912	50784	indirect	
58648	28912	50772	indirect	
58649	28912	50771	indirect	
58650	28912	15030	indirect	
58651	28912	2152	indirect	
58652	28912	3071	indirect	
58653	28912	2095	indirect	
58654	28912	2067	indirect	
58655	28912	3185	indirect	
58656	28912	15091	indirect	
58657	28912	2396	indirect	
58658	28912	15141	indirect	
58659	28912	15175	indirect	
58660	28912	15177	indirect	
58661	28912	3080	indirect	
58662	28912	2326	indirect	
58663	28912	2288	indirect	
58664	28912	2590	indirect	
58665	28912	2086	indirect	
58666	28912	3724	indirect	
58667	28912	1601	indirect	
58668	28912	1720	indirect	
58669	28912	1765	indirect	
58670	28912	1655	indirect	
58671	28912	1920	indirect	
58672	28912	2117	indirect	
58673	28912	1972	indirect	
58674	28912	1919	indirect	
58675	28912	1922	indirect	
58676	28912	1711	indirect	
58677	28912	2002	indirect	
58678	28912	1990	indirect	
58679	28912	2202	indirect	
58680	28912	2135	indirect	
58681	28912	1692	indirect	
58682	28912	1864	indirect	
58683	28912	2422	indirect	
58684	28912	2713	indirect	
58685	28912	2456	indirect	
58686	28912	2515	indirect	
58687	28912	2949	indirect	
58688	28912	1921	indirect	
58689	28912	2683	indirect	
58690	28912	2736	indirect	
58691	28912	2785	indirect	
58692	28912	2851	indirect	
58693	28912	2875	indirect	
58694	28912	3091	indirect	
58695	28912	3184	indirect	
58696	28912	3178	indirect	
58697	28912	3267	indirect	
58698	28912	3117	indirect	
58699	28912	3381	indirect	
58700	28912	3380	indirect	
58701	28912	3457	indirect	
58702	28912	3591	indirect	
58703	28912	3670	indirect	
58704	28912	3596	indirect	
58705	28912	3674	indirect	
58706	28912	3687	indirect	
58707	28912	2295	indirect	
58708	28912	3819	indirect	
58709	28912	9596	indirect	
58710	28912	4065	indirect	
58711	28912	4144	indirect	
58712	28912	4325	indirect	
58713	28912	2349	indirect	
58714	28912	4393	indirect	
58715	28912	4428	indirect	
58717	28912	2365	indirect	
58718	28912	3240	indirect	
58719	28912	14885	indirect	
58720	28912	14886	indirect	
58721	28912	3087	indirect	
58722	28912	9050	indirect	
58723	28912	15362	indirect	
58724	28912	2776	indirect	
58725	28912	1970	indirect	
58726	28912	1729	indirect	
58727	28912	1735	indirect	
58728	28912	54540	indirect	
58729	28912	9646	indirect	
58730	28912	11718	indirect	
58731	28912	2884	indirect	
58732	28912	2571	indirect	
58733	28912	2586	indirect	
58734	28912	2655	indirect	
58735	28912	11702	indirect	
58736	28912	14429	indirect	
58737	28912	14443	indirect	
58738	28912	14510	indirect	
58739	28912	2074	indirect	
58740	28912	15358	indirect	
58741	28912	15333	indirect	
58742	28912	9615	indirect	
58743	28912	15652	indirect	
58744	28912	1806	indirect	
58745	28912	15653	indirect	
58746	28912	3321	indirect	
58747	28912	15713	indirect	
58748	28912	15714	indirect	
58749	28912	9618	indirect	
58750	28912	2161	indirect	
58751	28912	11680	indirect	
58752	28912	2652	indirect	
58753	28912	2167	indirect	
58754	28912	3177	indirect	
58755	28912	2728	indirect	
58756	28912	15023	indirect	
58757	28912	15099	indirect	
58758	28912	50675	indirect	
58759	28912	50729	indirect	
58760	28912	50711	indirect	
58761	28912	50715	indirect	
58762	28912	50733	indirect	
58763	28912	50736	indirect	
58764	28912	50786	indirect	
58765	28912	50777	indirect	
58766	28912	50776	indirect	
58767	28912	50824	indirect	
58768	28912	50822	indirect	
58770	28922	15063	reference	
58771	28922	15041	reference	
58772	1793	9019	indirect	
58773	1793	21997	indirect	
58774	1793	9430	indirect	
58775	1793	30815	indirect	
58776	1793	22581	indirect	
58777	1793	53211	indirect	
58778	1793	53218	indirect	
58779	1793	53245	indirect	
58780	1793	53279	indirect	
58781	1793	53478	indirect	
58782	1793	53507	indirect	
58783	1793	53586	indirect	
58784	1793	53601	indirect	
58785	1793	53594	indirect	
58786	1793	53581	indirect	
58787	1793	53604	indirect	
58788	1793	53627	indirect	
58789	1793	53463	indirect	
58790	1793	53795	indirect	
58791	1793	53464	indirect	
58792	1793	53552	indirect	
58793	1793	53584	indirect	
58794	1793	53268	indirect	
58795	1793	53465	indirect	
58796	1793	53553	indirect	
58797	1793	53585	indirect	
58798	1793	53766	indirect	
58799	1793	53767	indirect	
58800	1793	53633	indirect	
58801	1793	53647	indirect	
58802	1793	54201	indirect	
58803	1793	53471	indirect	
58804	1793	54152	indirect	
58805	1793	54319	indirect	
58806	1793	53782	indirect	
58807	1793	54191	indirect	
58808	1793	54203	indirect	
58809	1793	54272	indirect	
58810	1793	54171	indirect	
58811	1793	54308	indirect	
58812	1793	54321	indirect	
58813	1793	53683	indirect	
58814	1793	54414	indirect	
58815	1793	53785	indirect	
58816	1793	54411	indirect	
58817	1793	54416	indirect	
58818	1793	54537	indirect	
58819	1793	54638	indirect	
58820	1793	53786	indirect	
58821	1793	54324	indirect	
58822	1793	54534	indirect	
58823	1793	54655	indirect	
58824	1793	54713	indirect	
58825	1793	54656	indirect	
58826	1793	54710	indirect	
58827	1793	54380	indirect	
58828	1793	54545	indirect	
58829	1793	54637	indirect	
58830	1793	54657	indirect	
58831	1793	54658	indirect	
58832	1793	54685	indirect	
58833	1793	54382	indirect	
58834	1793	54647	indirect	
58835	1793	54702	indirect	
58836	1793	54717	indirect	
58837	1793	54329	indirect	
58838	1793	54353	indirect	
58839	1793	54383	indirect	
58840	1793	54582	indirect	
58841	1793	54648	indirect	
58842	1793	54660	indirect	
58844	1793	54718	indirect	
58845	1793	53659	indirect	
58846	1793	54354	indirect	
58847	1793	54384	indirect	
58848	1793	54704	indirect	
58849	1793	54385	indirect	
58850	1793	54662	indirect	
