sourcecitationeventid	sourcecitation	event	sourcecitationeventinclude
855	582	7501	f
856	582	7500	f
857	582	7499	f
858	582	7427	f
859	582	7249	f
860	582	7243	f
861	582	7242	f
862	582	7754	f
863	582	7582	f
864	582	8899	f
865	582	8802	f
866	582	8801	f
867	582	8800	f
868	582	8799	f
869	582	8671	f
870	582	8542	f
871	582	8517	f
872	583	3559	f
873	583	3555	f
874	583	3553	f
875	583	3544	f
876	583	3510	f
877	583	3443	f
878	584	3488	f
879	585	3328	f
880	586	3298	f
881	586	3909	f
882	587	3575	f
883	587	3507	f
884	588	3533	f
885	588	3317	f
886	589	3740	f
887	589	3331	f
888	590	3666	f
889	591	3337	f
890	592	3745	f
891	593	3746	f
892	593	3740	f
893	593	3331	f
894	594	3746	f
895	595	3909	f
896	596	3298	f
897	597	3494	f
898	598	3776	f
899	598	3752	f
900	598	3751	f
901	599	3640	f
902	599	3453	f
903	600	3216	f
904	600	3172	f
905	600	3568	f
906	600	3382	f
907	600	3286	f
908	601	3404	f
909	602	3494	f
910	603	3776	f
911	603	3752	f
912	603	3751	f
913	604	3194	f
914	605	3782	f
915	652	3028	f
916	607	3534	f
917	608	3194	f
918	609	3610	f
919	610	3809	f
920	611	3806	f
921	612	3818	f
922	613	3399	f
923	614	3374	f
924	615	3288	f
925	616	3288	f
926	616	3919	f
927	617	3393	f
928	618	3918	f
929	619	3479	f
930	620	3046	f
931	620	3919	f
932	620	3918	f
933	621	3399	f
934	622	2971	f
935	623	2848	f
936	624	2685	t
937	625	2848	f
938	626	2798	f
940	627	2920	f
941	628	3159	f
942	629	2926	f
943	630	3057	f
944	631	2887	f
945	632	2640	f
946	633	2954	f
947	634	2640	f
948	635	2926	f
949	636	3228	f
950	637	3136	f
951	638	2798	f
953	639	2809	f
954	640	2954	f
955	641	2920	f
956	642	2809	f
957	643	3057	f
958	643	3041	f
961	644	2887	f
962	645	3136	f
963	646	3159	f
964	646	3057	f
965	646	3041	f
968	647	3041	f
971	648	3228	f
972	649	2871	f
973	650	2871	f
974	651	3028	f
975	653	3040	f
976	656	3040	f
977	657	2943	f
978	658	3188	f
979	659	3188	f
980	660	2943	f
981	661	2739	f
982	662	2739	f
983	663	3069	f
984	664	3069	f
985	665	3069	f
986	666	2821	f
987	667	2821	f
988	668	3004	f
989	669	3004	f
990	670	3035	f
991	671	3035	f
992	672	3048	f
993	673	3048	f
994	674	3021	f
995	675	3021	f
996	676	2379	f
997	677	3396	f
998	678	3044	f
999	679	2650	f
1000	680	3044	f
1001	681	3209	f
1002	682	2961	f
1003	685	2774	f
1004	686	2774	f
1005	687	763	f
1006	688	2967	f
1007	689	3126	f
1008	690	3029	f
1009	691	3383	f
1010	692	2967	f
1011	693	2866	f
1012	694	3126	f
1013	695	3187	f
1015	696	2787	f
1016	697	3029	f
1017	698	3187	f
1018	699	2787	f
1019	699	2751	f
1020	701	3143	f
1021	702	3143	f
1022	703	2877	f
1023	704	2877	f
1024	705	3133	f
1025	706	3133	f
1026	707	3212	f
1027	708	2712	f
1028	709	3212	f
1029	710	2712	f
1030	711	3132	f
1031	711	2767	f
1032	711	2696	f
1033	711	2680	f
1034	712	2680	f
1035	713	2763	f
1036	714	2766	f
1037	715	3132	f
1038	715	2767	f
1039	715	2696	f
1040	716	2827	f
1041	717	2766	f
1042	718	2690	f
1043	719	2680	f
1044	720	2813	f
1045	721	2827	f
1046	722	2902	f
1047	723	2902	f
1048	724	2690	f
1049	725	2813	f
1050	726	3928	f
1051	727	2763	f
1052	727	2680	f
1053	728	3092	f
1054	729	3068	f
1055	730	3092	f
1056	731	2740	f
1057	733	2921	f
1058	734	2921	f
1059	735	3043	f
1060	736	3043	f
1061	737	3011	f
1062	738	2879	f
1063	739	2879	f
1064	740	3086	f
1065	740	3056	f
1066	740	3023	f
1067	741	3086	f
1068	741	3056	f
1069	741	3023	f
1070	742	3086	f
1071	742	3056	f
1072	743	2770	f
1073	744	2770	f
1074	7705	8531	f
1075	745	3124	f
1076	746	3124	f
1077	747	2703	f
1078	748	3022	f
1079	749	2647	f
1080	750	3022	f
1081	751	2957	f
1082	752	2957	f
1083	753	2764	f
1084	754	3033	f
1085	755	2764	f
1086	756	3033	f
1087	757	2895	f
1088	758	3059	f
1089	759	3122	f
1090	760	2895	f
1091	761	3059	f
1092	762	3122	f
1093	763	3171	f
1094	764	3171	f
1095	765	3067	f
1096	766	3067	f
1097	767	3105	f
1098	768	3105	f
1099	769	2853	f
1100	770	2853	f
1101	771	3151	f
1102	772	3151	f
1103	773	2966	f
1104	774	2966	f
1105	775	3139	f
1106	776	2989	f
1107	776	2984	f
1108	777	2835	f
1109	778	2838	f
1110	779	2838	f
1111	780	8680	f
1112	781	3176	f
1113	782	3104	f
1114	783	3189	f
1115	784	2989	f
1116	784	2984	f
1117	784	2917	f
1118	784	2734	f
1119	785	3189	f
1120	786	2730	f
1121	787	2917	f
1122	787	2734	f
1123	788	2791	f
1124	789	2791	f
1125	790	2835	f
1126	791	3104	f
1127	792	2730	f
1128	793	3176	f
1129	794	2958	f
1130	795	3009	f
1131	796	2862	f
1132	797	3009	f
1133	798	2862	f
1134	799	2958	f
1135	800	2937	f
1136	801	2744	f
1137	802	3054	f
1138	803	2744	f
1139	804	2937	f
1140	806	2780	f
1141	807	2729	f
1142	808	2729	f
1143	809	2780	f
1144	811	3119	f
1145	812	3119	f
1146	813	3047	f
1147	814	3027	f
1148	815	3047	f
1149	816	3079	f
1150	817	2953	f
1151	818	3083	f
1152	819	3083	f
1153	820	2953	f
1154	821	3027	f
1155	822	3079	f
1156	823	2832	f
1157	824	2772	f
1158	825	2772	f
1159	826	1713	f
1160	827	2742	f
1161	828	2742	f
1162	829	1713	f
1163	830	2832	f
1164	831	2617	f
1165	832	2801	f
1166	833	8611	f
1167	833	8556	f
1168	834	2801	f
1169	835	3157	f
1170	836	3157	f
1171	837	2719	f
1172	838	3001	f
1173	839	3001	f
1174	840	2719	f
1175	841	2910	f
1176	842	2910	f
1177	843	3158	f
1178	844	3158	f
1179	844	2905	f
1180	845	3202	f
1181	846	3202	f
1182	847	2905	f
1183	848	2637	f
