nationalarchivesid	source	government	nationalarchivesgovernmentname	nationalarchivesgovernmenttype	nationalarchivesunit	nationalarchivesunitfrom	nationalarchivesunitto	nationalarchivesexamined	nationalarchivesset
7871	7	3986	Fallowfield		5838453	1	1	f	1940
7872	7	3987	Falls		5836946	1	1	f	1940
7873	7	3988	Falls		5838547	1	1	f	1940
7881	7	3991	Fannett		5837507	1	1	f	1940
7899	7	3992	Farmington		5837179	1	1	f	1940
7900	7	3993	Farmington		5838348	1	1	f	1940
7901	7	3994	Farmington		5838418	1	1	f	1940
7905	7	3995	Farrell		5837942	1	1	f	1940
7906	7	3995	Farrell		36433263	1	1	f	1950
7909	7	3996	Fawn		5836691	1	1	f	1940
7910	7	3997	Fawn		5838571	1	1	f	1940
7911	7	3999	Fayette		5837654	1	1	f	1940
7917	7	2312	Fayette	County	36433002	1	1	f	1950
7926	7	4001	Fell		5837676	1	1	f	1940
7927	7	4001	Fell	Township	36433057	1	1	f	1950
7934	7	4004	Ferguson		5837084	1	1	f	1940
7935	7	4003	Ferguson		5837213	1	1	f	1940
7937	7	4005	Fermanagh		5837655	1	1	f	1940
7941	7	4006	Ferndale		5837027	1	1	f	1940
7949	7	4007	Findley		5836692	1	1	f	1940
7950	7	4008	Findley		5837943	1	1	f	1940
7955	7	4010	Fishingcreek		5837266	1	1	f	1940
7967	7	1826	Flemington		5835191	1	1	f	1940
7977	7	7178	Florence		5835097	1	1	f	1940
7978	7	7178	Florence		23853116	1	1	f	1950
7996	7	4014	Ford		5836736	1	1	f	1940
7997	7	4014	Ford City		34427612	1	1	f	1950
8002	7	4016	Forest		5838314	1	1	f	1940
8005	7	4016	Forest City		40037682	1	1	f	1950
8006	7	2313	Forest	County	36433008	1	1	f	1950
8010	7	4017	Forest Hills		34427545	1	1	f	1950
8011	7	4018	Forest Lake		5838315	1	1	f	1940
8014	7	4019	Forks		5838078	1	1	f	1940
8015	7	4020	Forks		5838299	1	1	f	1940
8016	7	4021	Forkston		5838548	1	1	f	1940
8025	7	48706	Fort Clayton		5838609	1	1	f	1940
8027	7	48706	Fort de Lesseps		5838610	1	1	f	1940
8038	7	7181	Fort Lee		5835056	1	1	f	1940
8039	7	7181	Fort Lee		23853047	1	1	f	1950
8063	7	48706	Fort William Davis Military Reservation		5838623	1	1	f	1940
8067	7	4023	Forty Fort		5837831	1	1	f	1940
8068	7	4023	Forty Fort		36433219	1	1	f	1950
8069	7	4024	Forward		5836693	1	1	f	1940
8070	7	4025	Forward		5836989	1	1	f	1940
8071	7	4026	Foster		5837832	1	1	f	1940
8072	7	4028	Foster		5837924	1	1	f	1940
8073	7	4027	Foster		5838206	1	1	f	1940
8080	7	4029	Fountain Hill		5837796	1	1	f	1940
8081	7	4029	Fountain Hill		36433198	1	1	f	1950
8083	7	4030	Fox		5837428	1	1	f	1940
8084	7	4031	Fox		5838300	1	1	f	1940
8087	7	4034	Frackville		5838207	1	1	f	1940
8088	7	4035	Frailey		5838208	1	1	f	1940
8091	7	4036	Franconia		5838017	1	1	f	1940
8110	7	7185	Franklin		5835164	1	1	f	1940
8111	7	7184	Franklin		5835292	1	1	f	1940
8112	7	7183	Franklin		5835299	1	1	f	1940
8113	7	7184	Franklin		23853466	1	1	f	1950
8114	7	7183	Franklin		23853481	1	1	f	1950
8117	7	4051	Franklin		5836667	1	1	f	1940
8118	7	6185	Franklin		5836694	1	1	f	1940
8119	7	4044	Franklin		5836774	1	1	f	1940
8120	7	4047	Franklin		5836906	1	1	f	1940
8121	7	4046	Franklin		5836990	1	1	f	1940
8122	7	4045	Franklin		5837062	1	1	f	1940
8123	7	4042	Franklin		5837128	1	1	f	1940
8124	7	4050	Franklin		5837267	1	1	f	1940
8125	7	4048	Franklin		5837446	1	1	f	1940
8126	7	4040	Franklin		5837470	1	1	f	1940
8127	7	4052	Franklin		5837542	1	1	f	1940
8128	7	4049	Franklin		5837568	1	1	f	1940
8129	7	4041	Franklin		5837833	1	1	f	1940
8130	7	4054	Franklin		5837882	1	1	f	1940
8131	7	4053	Franklin		5838252	1	1	f	1940
8132	7	4043	Franklin		5838316	1	1	f	1940
8133	7	4039	Franklin		5838391	1	1	f	1940
8134	7	6190	Franklin		5838511	1	1	f	1940
8135	7	4055	Franklin		5838572	1	1	f	1940
8136	7	4039	Franklin		40037695	1	1	f	1950
8155	7	2314	Franklin	County	36433012	1	1	f	1950
8163	7	4058	Frankstown		5836885	1	1	f	1940
8165	7	4059	Frazer		5836695	1	1	f	1940
8166	7	1246	Frederick		5832559	1	1	f	1940
8170	7	1245	Frederick	County	16684149	1	1	f	1950
8184	7	4063	Freedom		5836668	1	1	f	1940
8185	7	4062	Freedom		5836775	1	1	f	1940
8186	7	4064	Freedom		5836886	1	1	f	1940
8187	7	4062	Freedom		34427624	1	1	f	1950
8188	7	1829	Freehold		5835228	1	1	f	1940
8189	7	7190	Freehold		23853339	1	1	f	1950
8190	7	4065	Freehold		5838419	1	1	f	1940
8191	7	4066	Freeland		5837834	1	1	f	1940
8192	7	4066	Freeland		36433221	1	1	f	1950
8199	7	4069	Freeport		5837543	1	1	f	1940
8208	7	4072	French Creek		5837944	1	1	f	1940
8209	7	4073	Frenchcreek		5838392	1	1	f	1940
8212	7	48706	Frijoles		5838611	1	1	f	1940
8228	7	4075	Fulton		5837721	1	1	f	1940
8235	7	2315	Fulton	County	36433016	1	1	f	1950
8242	7	4076	Gaines		5838349	1	1	f	1940
8262	7	4078	Gallagher		5837242	1	1	f	1940
8271	7	4080	Gallitzin		5837028	1	1	f	1940
8272	7	4079	Gallitzin		34427720	1	1	f	1950
8273	7	7194	Galloway		5835034	1	1	f	1940
8280	7	4081	Gamble		5837883	1	1	f	1940
8292	7	1818	Garfield		5835057	1	1	f	1940
8293	7	7195	Garfield		23853049	1	1	f	1950
8306	7	1246	Garrett	County	16684154	1	1	f	1950
8309	7	7196	Garwood		5835305	1	1	f	1940
8310	7	7196	Garwood		23928620	1	1	f	1950
8317	7	4083	Gaskill		5837629	1	1	f	1940
8327	7	48706	Gatun		5838624	1	1	f	1940
8328	7	6195	Gearhart		5838103	1	1	f	1940
8335	7	4086	Genesee		5838173	1	1	f	1940
8345	7	2089	Geneva		5835905	1	1	f	1940
8346	7	2089	Geneva		24737406	1	1	f	1950
8349	7	4087	Georges		5837471	1	1	f	1940
8362	7	4089	German		5837472	1	1	f	1940
8367	7	4090	Germany		5836669	1	1	f	1940
8369	7	4091	Gettysburg		32199629	1	1	f	1950
8370	7	4092	Gibson		5837052	1	1	f	1940
8371	7	4093	Gibson		5838317	1	1	f	1940
8375	7	4094	Gilberton		5838209	1	1	f	1940
8376	7	4094	Gilberton		40037649	1	1	f	1950
8387	7	4095	Gilmore		5837544	1	1	f	1940
8389	7	4096	Gilpin		5836737	1	1	f	1940
8395	7	4098	Girard		5837214	1	1	f	1940
8396	7	4099	Girard		5837447	1	1	f	1940
8397	7	4100	Girardville		5838210	1	1	f	1940
8398	7	4100	Girardville		40037651	1	1	f	1950
8400	7	4101	Glade		5838420	1	1	f	1940
8413	7	1824	Glassboro		5835165	1	1	f	1940
8414	7	7198	Glassboro		23853231	1	1	f	1950
8416	7	4103	Glassport		34427547	1	1	f	1950
8426	7	1823	Glen Ridge		5835148	1	1	f	1940
8427	7	7687	Glen Ridge		23853204	1	1	f	1950
8428	7	7201	Glen Rock		5835058	1	1	f	1940
8429	7	7201	Glen Rock		23853051	1	1	f	1950
8430	7	4108	Glenburn		5837677	1	1	f	1940
8438	7	4111	Glenolden		5837398	1	1	f	1940
8439	7	4111	Glenolden		36432960	1	1	f	1950
8451	7	7203	Gloucester City		5835115	1	1	f	1940
8452	7	7203	Gloucester City		23853141	1	1	f	1950
8453	7	1824	Gloucester	County	23853233	1	1	f	1950
8456	7	7202	Gloucester	Township	23853143	1	1	f	1950
8497	7	1906	Goshen		5835733	1	1	f	1940
8498	7	4114	Goshen		5837215	1	1	f	1940
8519	7	4115	Graham		5837216	1	1	f	1940
8558	7	4117	Grant		5837608	1	1	f	1940
8577	7	4118	Granville		5836907	1	1	f	1940
8578	7	4119	Granville		5837981	1	1	f	1940
8584	7	4121	Gray		5837545	1	1	f	1940
8597	7	4123	Great Bend		5838318	1	1	f	1940
8610	7	4125	Green		5837496	1	1	f	1940
8611	7	4124	Green		5837609	1	1	f	1940
8627	7	4129	Greencastle		5837508	1	1	f	1940
8628	7	4134	Greene		5836776	1	1	f	1940
8629	7	4131	Greene		5837243	1	1	f	1940
8630	7	4135	Greene		5837448	1	1	f	1940
8631	7	4136	Greene		5837509	1	1	f	1940
8632	7	4130	Greene		5837546	1	1	f	1940
8633	7	4133	Greene		5837945	1	1	f	1940
8634	7	4132	Greene		5838157	1	1	f	1940
8643	7	2316	Greene	County	36433018	1	1	f	1950
8655	7	4138	Greenfield		5836887	1	1	f	1940
8656	7	4139	Greenfield		5837449	1	1	f	1940
8665	7	4141	Greensburg		5838512	1	1	f	1940
8666	7	4141	Greensburg		40037728	1	1	f	1950
8683	7	4224	Greenville		5837946	1	1	f	1940
8684	7	4143	Greenville		5838273	1	1	f	1940
8685	7	4142	Greenville		36433265	1	1	f	1950
8693	7	7207	Greenwich		5835166	1	1	f	1940
8696	7	4144	Greenwich		5836841	1	1	f	1940
8699	7	4145	Greenwood		5837217	1	1	f	1940
8700	7	4147	Greenwood		5837268	1	1	f	1940
8701	7	4149	Greenwood		5837296	1	1	f	1940
8702	7	4148	Greenwood		5837656	1	1	f	1940
8703	7	4146	Greenwood		5838132	1	1	f	1940
8710	7	4150	Gregg		5837085	1	1	f	1940
8711	7	4151	Gregg		5838373	1	1	f	1940
8738	7	4152	Grove		5837053	1	1	f	1940
8739	7	4153	Grove		5837947	1	1	f	1940
8740	7	4153	Grove City		36433267	1	1	f	1950
8743	7	4154	Grugan		5837244	1	1	f	1940
8762	7	4155	Guilford		5837510	1	1	f	1940
8767	7	4156	Gulich		5837218	1	1	f	1940
8775	7	7209	Guttenberg		23853251	1	1	f	1950
8776	7	1825	Guttenburg		5835179	1	1	f	1940
8781	7	1818	Hackensack		5835059	1	1	f	1940
8782	7	7211	Hackettstown		5835320	1	1	f	1940
8783	7	7211	Hackettstown		23928649	1	1	f	1950
8785	7	7212	Haddon		5835116	1	1	f	1940
8786	7	7213	Haddon Heights		5835117	1	1	f	1940
8787	7	7213	Haddon Heights		23853145	1	1	f	1950
8788	7	7212	Haddon	Township	23853147	1	1	f	1950
8789	7	7214	Haddonfield		5835118	1	1	f	1940
8790	7	7214	Haddonfield		23853149	1	1	f	1950
8794	7	4157	Haines		5837086	1	1	f	1940
8797	7	7216	Haledon		5835270	1	1	f	1940
8798	7	7216	Haledon		23853421	1	1	f	1950
8800	7	1238	Halethorpe-Arbutus		5832532	1	1	f	1940
8801	7	4158	Halfmoon		5837087	1	1	f	1940
8802	7	4160	Halifax		5837357	1	1	f	1940
8813	7	2163	Halls Corner		27865095	1	1	f	1950
8816	7	7217	Hamburg		23853483	1	1	f	1950
8819	7	4163	Hamburg		5836842	1	1	f	1940
8820	7	4163	Hamburg		34427647	1	1	f	1950
8826	7	7219	Hamilton		5835197	1	1	f	1940
8827	7	7219	Hamilton		23853280	1	1	f	1950
8830	7	4165	Hamilton		5836670	1	1	f	1940
8831	7	4167	Hamilton		5837511	1	1	f	1940
8832	7	4168	Hamilton		5837925	1	1	f	1940
8833	7	4166	Hamilton		5837994	1	1	f	1940
8834	7	4164	Hamilton		5838350	1	1	f	1940
8847	7	4169	Hamiltonban		5836671	1	1	f	1940
8852	7	4170	Hamlin		5837926	1	1	f	1940
8858	7	7220	Hammonton		5835035	1	1	f	1940
8859	7	7220	Hammonton		23853011	1	1	f	1950
8860	7	4171	Hampden		5837330	1	1	f	1940
8866	7	4172	Hampton		5836696	1	1	f	1940
8885	7	3049	Hancock	County	75639226	1	1	f	1950
8895	7	7223	Hanover		5835247	1	1	f	1940
8896	7	4178	Hanover		5836777	1	1	f	1940
8897	7	4179	Hanover		5837797	1	1	f	1940
8898	7	4176	Hanover		5837835	1	1	f	1940
8899	7	4177	Hanover		5838080	1	1	f	1940
8900	7	4180	Hanover		5838454	1	1	f	1940
8901	7	4175	Hanover		5838573	1	1	f	1940
8902	7	4175	Hanover		40037750	1	1	f	1950
8910	7	4181	Harborcreek		5837450	1	1	f	1940
8924	7	4182	Harford		5838319	1	1	f	1940
8925	7	1247	Harford	County	16684164	1	1	f	1950
8934	7	4183	Harmar		5836697	1	1	f	1940
8937	7	4187	Harmony		5836778	1	1	f	1940
8938	7	4188	Harmony		5837497	1	1	f	1940
8939	7	4186	Harmony		5838320	1	1	f	1940
8947	7	7228	Harrington Park		23853053	1	1	f	1950
8948	7	4189	Harris		5837088	1	1	f	1940
8953	7	4190	Harrisburg		5837358	1	1	f	1940
8954	7	4190	Harrisburg		36432938	1	1	f	1950
8955	7	2307	Harrisburg Urbanized		36432925	1	1	f	1950
8956	7	2308	Harrisburg Urbanized Area		36433076	1	1	f	1950
8958	7	1825	Harrison		5835180	1	1	f	1940
8959	7	7229	Harrison		23853253	1	1	f	1950
8960	7	1930	Harrison		24737313	1	1	f	1950
8961	7	4193	Harrison		5836698	1	1	f	1940
8962	7	4191	Harrison		5836805	1	1	f	1940
8963	7	4192	Harrison		5838174	1	1	f	1940
8987	7	4197	Hartley		5838374	1	1	f	1940
8997	7	7232	Hasbrouck Heights		5835060	1	1	f	1940
8998	7	7232	Hasbrouck Heights		23853055	1	1	f	1950
9012	7	4200	Hatboro		5838018	1	1	f	1940
9013	7	4200	Hatboro		36433291	1	1	f	1950
9014	7	4202	Hatfield		5838019	1	1	f	1940
9022	7	4203	Haverford		5837399	1	1	f	1940
9040	7	7234	Hawthorne		5835271	1	1	f	1940
9041	7	7234	Hawthorne		23853423	1	1	f	1950
9042	7	4206	Haycock		5836947	1	1	f	1940
9045	7	4207	Hayfield		5837297	1	1	f	1940
9058	7	4209	Hazel		5837836	1	1	f	1940
9061	7	4210	Hazelton		36433223	1	1	f	1950
9062	7	4210	Hazleton		5837838	1	1	f	1940
9067	7	4211	Heath		5837630	1	1	f	1940
9070	7	4212	Hebron		5838175	1	1	f	1940
9071	7	4213	Hector		5838176	1	1	f	1940
9072	7	4214	Hegins		5838211	1	1	f	1940
9073	7	4218	Heidelberg		5836843	1	1	f	1940
9074	7	4219	Heidelberg		5837774	1	1	f	1940
9075	7	4216	Heidelberg		5837798	1	1	f	1940
9076	7	4217	Heidelberg		5838574	1	1	f	1940
9081	7	4220	Hellam		5838575	1	1	f	1940
9082	7	4221	Hellertown		5838081	1	1	f	1940
9083	7	4221	Hellertown		36433331	1	1	f	1950
9086	7	4222	Hemlock		5837269	1	1	f	1940
9087	7	4223	Hempfield		5838513	1	1	f	1940
9096	7	4225	Henderson		5837569	1	1	f	1940
9097	7	4226	Henderson		5837632	1	1	f	1940
9115	7	4227	Henry Clay		5837473	1	1	f	1940
9126	7	4228	Hepburn		5837884	1	1	f	1940
9128	7	4229	Hereford		5836844	1	1	f	1940
9138	7	4233	Herrick		5836908	1	1	f	1940
9139	7	4232	Herrick		5838321	1	1	f	1940
9153	7	4235	Hickory		5837498	1	1	f	1940
9154	7	4234	Hickory		5837750	1	1	f	1940
9155	7	6233	Hickory		5837948	1	1	f	1940
9167	7	4240	Highland		5836672	1	1	f	1940
9168	7	4239	Highland		5837129	1	1	f	1940
9169	7	4237	Highland		5837180	1	1	f	1940
9180	7	7239	Highland Park		5835208	1	1	f	1940
9181	7	7239	Highland Park		23853301	1	1	f	1950
9187	7	1827	Hightstown		5835198	1	1	f	1940
9188	7	7241	Hightstown		23853282	1	1	f	1950
9206	7	1818	Hillsdale		5835061	1	1	f	1940
9207	7	7243	Hillsdale		23853057	1	1	f	1950
9209	7	4242	Hillsgrove		5838301	1	1	f	1940
9210	7	7244	Hillside		5835306	1	1	f	1940
9211	7	7244	Hillside		23928622	1	1	f	1950
9212	7	4243	Hilltown		5836948	1	1	f	1940
9230	7	1825	Hoboken		5835181	1	1	f	1940
9231	7	7246	Hoboken		23853255	1	1	f	1950
9235	7	7699	Hohokus		5835062	1	1	f	1940
9250	7	4244	Hollenback		5837839	1	1	f	1940
9251	7	3049	Hollidays Cove		5840947	1	1	f	1940
9252	7	4245	Hollidaysburg		34427675	1	1	f	1950
9274	7	4246	Homer		5838177	1	1	f	1940
9276	7	4248	Homestead		34427549	1	1	f	1950
9282	7	4250	Honesdale		5838487	1	1	f	1940
9283	7	4250	Honesdale		40037722	1	1	f	1950
9284	7	4252	Honeybrook		5837130	1	1	f	1940
9299	7	4262	Hopewell		5836779	1	1	f	1940
9300	7	4259	Hopewell		5836806	1	1	f	1940
9301	7	4258	Hopewell		5837331	1	1	f	1940
9302	7	4261	Hopewell		5837570	1	1	f	1940
9303	7	4257	Hopewell		5838455	1	1	f	1940
9304	7	4260	Hopewell		5838576	1	1	f	1940
9323	7	4263	Horsham		5838020	1	1	f	1940
9325	7	4264	Horton		5837429	1	1	f	1940
9344	7	4267	Hovey		5836738	1	1	f	1940
9345	7	4269	Howard		5837089	1	1	f	1940
9351	7	4270	Howe		5837499	1	1	f	1940
9352	7	4271	Howe		5838133	1	1	f	1940
9355	7	7254	Howell		23853341	1	1	f	1950
