affectedgovernmentgisid	affectedgovernment	governmentshape
16102	73247	2230
16103	73247	29701
16104	73247	2284
16105	73247	29708
16106	73247	29705
16107	73247	29699
16109	73247	29702
16110	73247	4517
16111	73247	4081
16112	73248	2346
16113	73247	29704
16114	73246	1000
16115	73246	4839
16116	73246	1020
16117	73246	839
16118	73246	5604
16119	73245	2562
16120	73245	1129
16121	73246	5389
16123	73246	409
16124	73246	180
16125	71415	29726
16126	71415	29728
16128	73245	4725
16129	73248	632
16130	73248	666
16131	73248	967
16132	73248	1043
16133	73248	1431
16134	73248	1481
16135	73248	1808
16136	73248	2144
16137	73248	2684
16139	73248	4007
16140	73248	5143
16141	73248	5301
16142	73248	5542
16144	73248	13160
16145	73248	13162
16146	73248	13163
16147	73248	13164
16148	73248	13165
16149	73248	13166
16150	73248	29744
16151	73248	29748
16152	73249	4641
16153	73249	4791
16155	73249	5642
16156	73249	28920
16157	73249	28921
16158	73249	29158
16161	73249	29161
16162	73249	29162
16163	73249	29743
16164	73249	29745
16165	73249	29747
16166	73249	29750
16167	73249	29751
16168	73249	29752
16169	73254	29753
16170	1188	29754
16171	1201	29754
16172	487	29754
16173	1190	29754
16176	905	29757
16179	28200	29757
16180	73243	18
16181	73243	25
16182	73243	53
16183	73243	155
16184	73243	207
16185	73243	248
16186	73243	383
16187	73243	578
16188	73243	605
16189	73243	608
16190	73243	654
16191	73243	659
16192	73243	668
16193	73243	847
16194	73243	1044
16195	73243	1146
16196	73243	1174
16197	73243	1231
16198	73243	1599
16199	73243	1661
16200	73243	1702
16201	73243	1778
16202	73243	1847
16203	73243	1854
16204	73243	1864
16205	73243	1929
16206	73243	1969
16207	73243	1980
16208	73243	1987
16209	73243	2032
16211	73243	2093
16212	73243	2106
16213	73243	2140
16215	73243	2157
16216	73243	2271
16217	73243	2389
16218	73243	2424
16219	73243	2449
16220	73243	2651
16221	73243	2657
16222	73243	2675
16224	73243	2750
16225	73243	2799
16226	73243	2933
16227	73243	2942
16228	73243	3046
16229	73243	3201
16230	73243	3402
16231	73243	3426
16232	73243	3505
16233	73243	3552
16234	73243	3658
16235	73243	3743
16236	73243	3797
16237	73243	3813
16238	73243	3886
16239	73243	4019
16240	73243	4020
16241	73243	4035
16242	73243	4118
16243	73243	4269
16244	73243	4756
16245	73243	4804
16246	73243	4983
16247	73243	5010
16248	73243	5048
16249	73243	5088
16250	73243	5288
16251	73243	5298
16252	73243	5329
16253	73243	5487
16254	73243	5600
16255	73243	5734
16256	73243	5757
16257	73243	5820
16258	73243	5914
16259	73243	10446
16260	73243	10447
16261	73243	10451
16262	73243	10453
16263	73243	10454
16264	73243	10455
16266	73243	10458
16267	73243	10459
16268	73243	10460
16269	73243	10461
16270	73243	10462
16271	73243	10463
16272	73243	12134
16273	73243	12135
16275	73243	12241
16276	73243	13197
16280	73243	29709
16282	73243	29711
16283	73243	29712
16284	73243	29713
16285	73243	29715
16286	73243	29729
16287	73243	29730
16288	73243	29731
16289	73243	29732
16290	73243	29733
16291	73243	29734
16292	73243	29735
16293	73243	29736
16294	73243	29738
16295	73243	29739
16296	73243	29740
16297	73243	29741
16298	73243	29742
16299	28199	625
16300	28199	980
16301	28199	1169
16302	28199	1359
16303	28199	1427
16304	28199	1821
16305	28199	2035
16306	28199	2164
16307	28199	2235
16308	28199	2310
16309	28199	2420
16310	28199	2502
16311	28199	2558
16312	28199	2805
16313	28199	2976
16314	28199	3218
16315	28199	3310
16316	28199	3570
16317	28199	4117
16318	28199	4222
16319	28199	4267
16320	28199	4320
16321	28199	4354
16322	28199	4484
16323	28199	5278
16324	28199	5338
16325	28199	5429
16326	28199	5599
16327	28199	5662
16328	28199	5671
16329	28199	5746
16330	28199	5939
16331	28199	10449
16332	28199	10464
16333	28199	10465
16334	28199	10466
16335	28199	10467
16336	28199	10468
16337	28199	12244
16338	28199	12245
16339	28199	12328
16340	28199	12330
16341	28199	12331
16342	28199	12332
16343	28199	12333
16344	28199	12334
16345	28199	13172
16346	28199	13173
16347	28199	13174
16348	28199	13175
16349	28199	13176
16350	28199	13177
16351	28199	13178
16352	28199	13179
16353	28199	13180
16354	28199	13181
16355	28199	13182
16356	28199	13196
16357	28199	13200
16358	28199	13202
16359	28199	13203
16360	28199	29754
16362	52789	14
16363	52789	24
16364	52789	173
16365	52789	388
16366	52789	505
16367	52789	536
16368	52789	550
16369	52789	832
16370	52789	969
16371	52789	1096
16372	52789	1260
16373	52789	1305
16374	52789	1579
16375	52789	1839
16376	52789	2037
16377	52789	2186
16378	52789	2295
16379	52789	2495
16380	52789	2555
16381	52789	2569
16382	52789	2728
16383	52789	2874
16384	52789	3406
16385	52789	3434
16386	52789	3605
16387	52789	3803
16388	52789	3937
16389	52789	3964
16390	52789	4046
16391	52789	4236
16392	52789	4503
16393	52789	4786
16394	52789	4835
16395	52789	5126
16396	52789	5281
16397	52789	5443
16398	52789	5561
16399	52789	5780
16400	52789	10456
16401	52789	10469
16402	52789	10475
16404	52789	12336
16405	52789	12339
16406	52789	13125
16407	52789	13126
16408	52789	13127
16409	52789	13128
16410	28200	29716
16412	52789	109
16413	73243	2762
16414	73243	1947
16415	73243	3798
16416	73243	29737
16417	28199	844
16418	73243	2485
16419	29159	6
16420	29159	7
16421	29159	22
16422	29162	31
16423	29159	47
16424	29159	92
16425	29159	118
16426	29159	119
16427	29159	132
16428	29159	143
16429	29159	150
16430	29159	158
16431	29159	168
16432	29159	171
16433	29159	172
16434	29159	179
16435	29159	184
16436	29159	194
16437	29159	206
16438	29159	219
16439	29159	221
16441	29159	226
16442	29159	238
16443	29159	240
16444	29159	259
16445	29159	261
16446	29159	263
16447	29159	268
16449	29159	286
16450	29159	295
16451	29159	299
16452	29159	300
16453	29159	308
16454	29159	314
16455	29159	325
16456	29159	331
16457	29159	337
16458	29159	357
16459	29159	367
16461	29159	385
16462	29159	387
16463	29159	390
16464	29159	391
16465	29159	405
16467	29159	425
16468	29159	426
16469	29159	438
16470	29159	450
16471	29159	462
16472	29159	468
16473	29159	474
16474	29159	475
16475	29159	478
16476	29159	483
16477	29159	491
16478	29159	494
16479	29159	498
16480	29159	499
16481	29159	516
16482	29159	518
16483	29159	528
16484	29159	531
16485	29159	542
16486	29159	568
16487	29159	569
16489	29159	597
16490	29159	619
16491	29159	620
16492	29159	634
16493	29159	635
16494	29159	639
16496	29159	682
16497	29159	685
16498	29159	688
16499	29159	703
16500	29159	704
16501	29159	714
16502	29159	719
16503	29159	723
16504	29159	730
16505	29159	731
16506	29159	746
16507	29159	751
16508	29159	784
16509	29159	790
16510	29159	806
16511	29159	816
16512	29159	829
16513	29159	845
16514	29159	848
16515	29159	853
16516	29159	854
16517	29159	878
16518	29159	882
16519	29159	890
16521	29159	893
16522	29159	908
16523	29159	912
16524	29159	913
16525	29159	915
16526	29159	916
16527	29159	921
16528	29159	922
16529	29159	936
16530	29159	945
16531	29159	959
16532	29159	982
16533	29159	999
16534	29159	1001
16535	29159	1015
16536	29159	1033
16538	29159	1094
16539	29159	1099
16540	29159	1104
16543	29159	1119
16544	29159	1122
16546	29159	1128
16548	29159	1135
16549	29159	1152
16550	29159	1155
16551	29159	1158
16552	29159	1170
16553	29159	1188
16554	29159	1191
16555	29159	1197
16556	29159	1205
16557	29159	1206
16558	29159	1220
16559	29159	1241
16560	29159	1244
16561	29159	1253
16562	29159	1255
16563	29159	1261
16564	29159	1267
16565	29159	1273
16566	29159	1277
16567	29159	1285
16569	29159	1296
16570	29159	1309
16571	29159	1319
16572	29159	1328
16573	29159	1331
16575	29159	1346
16576	29159	1347
16577	29159	1350
16578	29159	1358
16579	29159	1365
16580	29159	1369
16583	29159	1384
16584	29159	1390
16586	29159	1404
16587	29159	1406
16588	29159	1407
16589	29159	1409
16590	29159	1415
16591	29159	1418
16592	29159	1422
16593	29159	1424
16594	29159	1429
16595	29159	1436
16596	29159	1438
16597	29159	1439
16598	29159	1442
16599	29159	1458
16600	29159	1464
16601	29159	1473
16602	29159	1478
16603	29159	1480
16604	29159	1495
16605	29159	1509
16606	29159	1516
16607	29159	1517
16609	29159	1523
16610	29159	1534
16611	29159	1538
16612	29159	1543
16613	29159	1548
16614	29159	1555
16615	29159	1556
16616	29159	1571
16617	29159	1580
16618	29159	1583
16619	29159	1587
16620	29159	1608
16621	29159	1621
16622	29159	1627
16623	29159	1630
16624	29159	1634
16625	29159	1649
16626	29159	1650
16627	29159	1657
16628	29159	1658
16629	29159	1666
16630	29159	1669
16631	29159	1672
16633	29159	1698
16634	29159	1709
16635	29159	1745
16637	29159	1752
16638	29159	1758
16639	29159	1759
16640	29159	1761
16641	29159	1765
16642	29159	1799
16643	29159	1814
16644	29159	1823
16645	29159	1832
16646	29159	1858
16647	29159	1878
16648	29159	1879
16649	29159	1881
16650	29159	1889
16651	29159	1893
16653	29159	1943
16654	29159	1952
16655	29159	1953
16656	29159	1967
16657	29159	1971
16658	29159	1991
16659	29159	1992
16660	29159	1994
16661	29159	1996
16662	29159	2011
16663	29159	2012
16664	29159	2029
16665	29159	2038
16666	29159	2044
16667	29159	2049
16668	29159	2056
16669	29159	2059
16670	29159	2062
16671	29159	2064
16672	29159	2069
16673	29159	2073
16674	29159	2087
16675	29159	2094
16677	29159	2120
16679	29159	2125
16680	29159	2131
16681	29159	2136
16682	29159	2142
16683	29159	2162
16684	29162	2174
16685	29159	2181
16686	29159	2183
16687	29159	2185
16688	29159	2191
16689	29159	2192
16690	29159	2194
16691	29159	2200
16692	29159	2207
16693	29159	2209
16694	29159	2211
16695	29159	2226
16696	29159	2231
16697	29159	2236
16699	29159	2273
16702	29159	2308
16703	29159	2312
16704	29159	2324
16705	29159	2331
16706	29159	2333
16707	29159	2343
16708	29159	2365
16710	29159	2395
16711	29159	2433
16712	29159	2435
16713	29159	2458
16714	29159	2472
16715	29159	2476
16716	29159	2491
16717	29159	2497
16718	29159	2517
16719	29159	2520
16720	29159	2521
16721	29159	2529
16722	29159	2531
16723	29159	2532
16724	29159	2538
16725	29159	2565
16726	29159	2566
16727	29159	2572
16728	29159	2576
16729	29159	2577
16730	29159	2581
16731	29159	2591
16732	29159	2592
16733	29159	2602
16734	29159	2608
16735	29159	2638
16736	29159	2640
16737	29159	2649
16738	29159	2663
16739	29159	2665
16740	29159	2699
16741	29159	2700
16742	29159	2724
16743	29159	2744
16744	29159	2745
16745	29159	2754
16746	29159	2766
16747	29159	2776
16748	29159	2779
16750	29159	2794
16751	29159	2821
16752	29159	2867
16753	29159	2877
16754	29159	2885
16755	29159	2891
16756	29159	2892
16757	29159	2898
16758	29159	2912
16759	29159	2914
16760	29159	2943
16762	29159	2955
16763	29159	2963
16764	29159	2970
16765	29159	2985
16766	29159	2994
16767	29159	2995
16768	29159	2998
16769	29159	2999
16770	29159	3002
16771	29159	3014
16772	29159	3020
16773	29159	3037
16774	29159	3055
16776	29159	3078
16777	29159	3090
16779	29159	3096
16780	29159	3099
16781	29159	3103
16782	29159	3118
16783	29159	3122
16784	29159	3125
16786	29159	3134
16787	29159	3138
16788	29159	3151
16789	29159	3152
16790	29159	3155
16791	29159	3172
16792	29159	3173
16793	29159	3188
16794	29159	3196
16795	29159	3206
16797	29159	3284
16798	29159	3292
16799	29159	3302
16800	29159	3304
16801	29159	3309
16802	29159	3321
16803	29159	3333
16804	29159	3335
16805	29159	3338
16806	29159	3340
16807	29159	3347
16808	29159	3350
16810	29159	3368
16811	29159	3409
16812	29159	3412
16813	29159	3414
16814	29159	3424
16815	29159	3430
16816	29159	3433
16817	29159	3447
16818	29159	3456
16819	29159	3474
16821	29159	3492
16823	29159	3497
16824	29159	3500
16825	29159	3509
16826	29159	3515
16827	29159	3521
16828	29159	3533
16829	29159	3536
16831	29159	3563
16832	29159	3571
16833	29159	3576
16834	29159	3581
16835	29159	3583
16836	29159	3592
16837	29159	3601
16838	29159	3602
16839	29159	3606
16840	29159	3608
16841	29159	3624
16842	29159	3628
16843	29159	3642
16844	29159	3649
16845	29159	3684
16846	29159	3703
16848	29159	3728
16849	29159	3734
16850	29159	3757
16851	29159	3759
16852	29159	3771
16853	29159	3777
16854	29159	3819
16857	29159	3837
16858	29159	3844
16861	29159	3863
16862	29159	3870
16863	29162	3876
16864	29159	3885
16865	29159	3902
16866	29159	3906
16867	29159	3911
16868	29159	3912
16869	29159	3928
16870	29159	3933
16871	29159	3934
16872	29159	3952
16873	29159	3955
16874	29159	3960
16876	29159	4001
16877	29159	4017
16878	29159	4033
16879	29159	4045
16881	29159	4069
16882	29159	4077
16884	29159	4084
16885	29159	4094
16886	29159	4095
16887	29159	4108
16888	29159	4126
16890	29159	4139
16891	29159	4143
16892	29159	4146
16893	29159	4148
16894	29159	4159
16895	29159	4174
16896	29159	4189
16897	29159	4193
16898	29159	4197
16899	29159	4198
16900	29159	4201
16901	29159	4202
16902	29159	4211
16903	29159	4214
16905	29159	4260
16906	29159	4270
16907	29159	4279
16908	29159	4284
16909	29159	4304
16910	29159	4308
16911	29159	4310
16912	29159	4314
16913	29159	4318
16914	29159	4328
16915	29159	4330
16916	29159	4335
16917	29159	4342
16918	29159	4358
16919	29159	4367
16921	29159	4388
16922	29159	4389
16923	29159	4392
16924	29159	4396
16925	29159	4402
16926	29159	4417
16927	29159	4430
16928	29159	4438
16929	29159	4442
16930	29159	4455
16931	29159	4457
16933	29159	4472
16934	29159	4473
16935	29159	4474
16936	29159	4493
16937	29159	4495
16938	29159	4506
16940	29159	4521
16941	29159	4527
16942	29159	4535
16943	29159	4538
16944	29159	4545
16945	29159	4582
16946	29159	4588
16947	29159	4589
16948	29159	4598
16949	29159	4633
16950	29159	4635
16952	29159	4644
16953	29159	4648
16954	29159	4661
16955	29159	4667
16956	29159	4678
16957	29159	4685
16958	29159	4695
16959	29159	4696
16960	29159	4699
16961	29159	4702
16962	29159	4705
16963	29159	4712
16964	29159	4721
16965	29159	4727
16966	29159	4752
16967	29159	4755
16969	29159	4777
16971	29159	4792
16972	29159	4794
16973	29159	4796
16974	29162	4802
16975	29159	4814
16976	29159	4819
16977	29159	4837
16979	29159	4853
16980	29159	4854
16981	29159	4855
16982	29159	4857
16983	29159	4880
16984	29159	4884
16985	29159	4893
16988	29159	4906
16989	29159	4912
16990	29159	4942
16991	29159	4965
16993	29159	4980
16994	29159	4989
16995	29159	4992
16996	29159	4993
16998	29159	5003
16999	29159	5005
17000	29159	5009
17001	29159	5011
17002	29159	5016
17003	29159	5022
17004	29159	5023
17005	29159	5029
17006	29159	5031
17007	29159	5050
17008	29159	5062
17009	29159	5071
17010	29159	5092
17011	29159	5101
17012	29159	5120
17013	29159	5129
17014	29159	5138
17015	29159	5152
17016	29159	5167
17017	29159	5170
17018	29159	5174
17019	29159	5176
17020	29159	5178
17021	29159	5184
17022	29159	5203
17023	29159	5217
17024	29159	5225
17025	29159	5231
17026	29159	5232
17027	29159	5236
17029	29159	5283
17030	29159	5305
17031	29159	5308
17035	29159	5355
17036	29159	5361
17037	29159	5379
17039	29159	5384
17040	29159	5411
17041	29159	5423
17042	29159	5427
17043	29159	5433
17044	29159	5437
17045	29159	5438
17046	29159	5442
17047	29159	5447
17049	29159	5458
17050	29159	5460
17051	29159	5461
17052	29159	5465
17053	29159	5471
17055	29159	5490
17056	29159	5492
17057	29159	5497
17059	29159	5506
17060	29159	5510
17061	29159	5519
17063	29159	5537
17064	29159	5543
17065	29159	5547
17066	29159	5568
17067	29159	5569
17068	29159	5570
17069	29159	5571
17070	29159	5580
17071	29159	5581
17072	29159	5587
17073	29159	5593
17074	29159	5594
17075	29159	5595
17076	29159	5603
17077	29159	5610
17078	29159	5613
17079	29159	5615
17080	29159	5629
17081	29159	5630
17083	29159	5645
17084	29159	5653
17085	29159	5654
17086	29159	5668
17087	29159	5669
17088	29159	5686
17091	29159	5706
17092	29159	5709
17093	29159	5719
17094	29159	5723
17095	29159	5728
17096	29159	5729
17097	29159	5738
17098	29159	5744
17099	29159	5759
17100	29159	5762
17101	29159	5766
17102	29159	5777
17103	29159	5783
17104	29159	5784
17106	29159	5807
17107	29159	5812
17108	29159	5816
17109	29159	5821
17110	29159	5823
17111	29159	5826
17112	29159	5844
17114	29159	5854
17115	29159	5876
17116	29159	5879
17117	29159	5882
17118	29159	5885
17119	29159	5903
17120	29159	5908
17121	29162	5911
17122	29159	5921
17123	29159	5922
17124	29162	5924
17125	29159	6623
17126	29159	6624
17127	29159	6637
17128	29159	6699
17129	29159	6701
17130	29159	6702
17131	29159	6727
17132	29159	7664
17133	29159	7665
17134	29159	7666
17135	29159	7667
17136	29159	7669
17137	29159	7670
17138	29159	7671
17142	29159	7675
17143	29159	10257
17144	29159	10258
17145	29159	10259
17146	29159	10267
17147	29159	10268
17148	29159	10269
17149	29159	10270
17150	29159	10271
17151	29159	10274
17152	29159	10275
17153	29159	10276
17154	29159	10278
17155	29159	10330
17156	29159	10331
17157	29159	11792
17158	29159	11793
17159	29159	11794
17160	29159	11798
17161	29159	11800
17162	29159	11802
17163	29159	11803
17164	29159	11804
17165	29159	11806
17166	29159	11807
17167	29159	11808
17168	29159	11809
17169	29159	11810
17170	29159	11814
17171	29159	11815
17172	29159	11816
17173	29159	11819
17174	29159	11820
17175	29159	11821
17176	29159	11822
17177	29159	11823
17178	29159	11830
17179	29159	11832
17180	29159	11833
17181	29159	11834
17182	29159	11837
17183	29159	11838
17184	29159	11839
17185	29159	11840
17186	29159	11841
17187	29159	11842
17188	29159	11844
17189	29159	11846
17190	29159	11847
17191	29159	11849
17192	29159	11850
17195	29159	11856
17197	29159	11861
17198	29159	11862
17199	29159	11863
17200	29159	11864
17201	29159	11865
17202	29159	11867
17204	29159	11870
17205	29159	11871
17206	29159	11975
17207	29159	11979
17208	29159	11982
17209	29159	11983
17210	29159	11984
17211	29159	11987
17212	29159	11988
17213	29159	11989
17214	29159	11990
17216	29159	11997
17217	29159	11998
17218	29159	12014
17219	29159	12018
17220	29159	12019
17221	29159	12020
17222	29159	12021
17223	29159	12024
17224	29159	12025
17225	29159	12027
17226	29159	12028
17227	29159	12029
17228	29159	12031
17229	29159	12032
17230	29159	12033
17231	29159	12037
17232	29159	12038
17233	29159	12040
17234	29159	12041
17235	29159	12042
17236	29159	12043
17237	29159	12044
17238	29159	12045
17239	29159	12046
17240	29159	12048
17241	29159	12049
17242	29159	12050
17243	29159	12051
17244	29159	12053
17245	29159	12054
17246	29159	12055
17247	29159	12056
17248	29159	12057
17249	29159	12059
17250	29159	12060
17251	29159	12061
17252	29159	12063
17253	29159	12064
17254	29159	12065
17255	29159	12076
17256	29159	12077
17257	29159	12078
17258	29159	12080
17259	29159	12082
17260	29159	12083
17261	29159	12084
17262	29159	12086
17263	29159	12087
17264	29159	12089
17265	29159	12091
17266	29159	12092
17267	29159	12093
17269	29159	12097
17270	29159	12098
17271	29159	12100
17272	29159	12103
17273	29159	12104
17274	29159	12105
17275	29159	12106
17276	29159	12107
17277	29159	12108
17278	29159	12109
17279	29159	12110
17280	29159	12111
17281	29159	12112
17282	29159	12113
17283	29159	12114
17284	29159	12115
17285	29159	12117
17286	29159	12118
17287	29159	12120
17288	29159	12121
17289	29159	12122
17290	29159	12123
17291	29159	12124
17292	29159	12128
17293	29159	12129
17294	29159	12130
17295	29159	12131
17296	29159	12132
17297	29159	12151
17298	29159	12153
17299	29159	12154
17300	29159	12159
17301	29159	12160
17302	29159	12162
17303	29159	12163
17304	29159	12168
17305	29159	12169
17306	29159	12171
17307	29159	12173
17308	29159	12174
17309	29159	12192
17310	29159	12193
17313	29159	12196
17314	29159	12197
17315	29159	12198
17317	29159	12200
17318	29159	12201
17320	29159	12210
17321	29159	12211
17322	29159	12212
17323	29159	12213
17324	29159	12215
17325	29159	12216
17326	29159	12222
17329	29159	12227
17330	29159	12228
17331	29159	12234
17332	29159	12248
17333	29159	12249
17334	29159	12250
17335	29159	12252
17336	29159	12254
17337	29159	12255
17338	29159	12256
17339	29159	12257
17340	29159	12259
17341	29159	12260
17342	29159	12262
17343	29159	12263
17344	29159	12265
17345	29159	12267
17346	29159	12268
17347	29159	12269
17348	29159	12271
17349	29159	12273
17350	29159	12274
17351	29159	12275
17352	29159	12276
17353	29159	12278
17354	29159	12279
17355	29159	12280
17356	29159	12281
17357	29159	12282
17358	29159	12283
17359	29159	12288
17360	29159	12289
17361	29159	12290
17362	29159	12292
17363	29159	12293
17364	29159	12294
17365	29159	12295
17366	29159	12296
17368	29159	12298
17369	29159	12299
17370	29159	12300
17371	29159	12301
17372	29159	12302
17373	29159	12303
17374	29159	12304
17375	29159	12305
17376	29159	12306
17377	29159	12307
17378	29159	12308
17379	29159	12309
17380	29159	12310
17381	29159	12311
17382	29159	12312
17383	29159	12314
17384	29159	12315
17386	29159	12317
17387	29159	12318
17388	29159	12319
17389	29159	12320
17390	29159	12321
17391	29159	12322
17392	29159	12323
17393	29159	12324
17394	29159	12325
17395	29159	12326
17396	29159	12327
17397	29159	12342
17398	29159	12343
17399	29159	12344
17400	29159	12345
17401	29159	12346
17402	29159	12347
17403	29159	12348
17404	29159	12349
17405	29159	12352
17406	29159	12353
17407	29159	12355
17408	29159	12356
17409	29159	12357
17410	29159	12358
17411	29159	12359
17412	29159	12361
17413	29159	12645
17415	29159	12660
17416	29159	12661
17417	29159	12667
17418	29159	12668
17419	29159	12669
17420	29159	12670
17421	29159	12671
17422	29159	12672
17423	29159	12673
17424	29159	12674
17425	29159	12675
17426	29159	12676
17427	29159	12677
17429	29159	12679
17430	29159	12680
17431	29159	12681
17432	29159	12682
17434	29159	12684
17436	29159	12686
17440	29159	12690
17441	29159	12691
17442	29159	12692
17443	29159	12693
17444	29159	12694
17445	29159	12695
17446	29159	12696
17448	29159	12698
17449	29159	12699
17450	29159	12700
17451	29159	12701
17452	29159	12703
17453	29159	12705
17455	29159	12708
17457	29159	12710
17458	29159	12711
17459	29159	12720
17460	29159	12721
17461	29159	12723
17462	29159	12724
17463	29159	12725
17464	29159	12726
17465	29159	12727
17466	29159	12728
17467	29159	12729
17468	29159	12730
17469	29159	12731
17470	29159	12732
17471	29159	12733
17472	29159	12734
17473	29159	12735
17474	29159	12737
17475	29159	12821
17476	29159	12822
17477	29159	12823
17479	29159	12825
17481	29159	12827
17482	29159	12828
17483	29159	12829
17484	29159	12831
17485	29159	12833
17487	29159	12835
17488	29159	12840
17489	29159	12841
17490	29159	12842
17491	29159	12843
17492	29159	12844
17493	29159	12845
17494	29159	12846
17495	29159	12847
17496	29159	12848
17497	29159	12849
17498	29159	12850
17499	29159	12852
17500	29159	12855
17501	29159	12860
17505	29159	12894
17506	29159	12895
17507	29159	12896
17509	29159	12902
17510	29159	12903
17511	29162	13012
17512	29162	13013
17513	29159	13129
17514	29159	13130
17515	29159	13131
17516	29159	13132
17517	29159	13133
17518	29159	13134
17519	29159	13135
17520	29159	13136
17521	29159	13137
17522	29159	13157
17523	29159	13159
17524	29159	14096
17525	29159	14097
17526	29159	14098
17527	29159	14099
17528	29159	14100
17529	29159	14101
17534	29159	14151
17535	29159	14153
17536	29159	14154
17541	29159	14256
17543	29159	14409
17544	29159	14415
17545	29159	14427
17546	29159	14428
17547	29159	14435
17548	29159	14437
17549	29159	14438
17550	29159	14439
17551	29159	14441
17552	29159	14442
17553	29159	14443
17554	29159	14476
17555	29159	14477
17556	29159	14482
17557	29159	14483
17558	29159	14484
17559	29159	14492
17560	29159	14493
17561	29159	14494
17562	29159	14496
17563	29159	14497
17564	29159	14498
17565	29159	14499
17566	29159	14501
17567	29159	14502
17568	29159	14503
17569	29159	14504
17570	29159	14505
17571	29159	14506
17572	29159	14508
17573	29159	14509
17574	29159	14510
17575	29159	14511
17576	29159	14512
17577	29159	14513
17578	29159	14515
17579	29159	14516
17581	29159	14518
17582	29159	14519
17583	29159	14520
17584	29159	14521
17585	29159	14522
17586	29159	14524
17587	29159	14525
17588	29159	14558
17590	29159	14560
17591	29159	14561
17592	29159	14562
17593	29159	14563
17594	29159	14564
17596	29159	14566
17597	29159	14567
17598	29159	14729
17599	29159	28793
17600	29159	28794
17601	29159	28795
17602	29159	28796
17603	29159	28797
17604	29162	28810
17605	29162	28811
17606	29159	29082
17607	29159	29083
17608	29159	29084
17609	29159	29085
17610	29159	29086
17611	29159	29087
17612	29159	29091
17613	29159	29092
17614	29159	29093
17615	29159	29094
17616	29159	29095
17617	29159	29096
17618	29159	29097
17619	29159	29099
17620	29159	29100
17621	29159	29101
17622	29159	29102
17623	29159	29103
17624	29159	29104
17625	29159	29106
17626	29159	29107
17627	29159	29108
17629	29159	29110
17631	29159	29112
17632	29159	29113
17633	29159	29115
17634	29159	29116
17635	29159	29117
17636	29159	29154
17637	29159	29156
17638	29159	29157
17639	29159	29164
17640	29159	29166
17641	29159	29167
17642	29159	29168
17643	29159	29169
17644	29159	29179
17645	29159	29180
17646	29159	29181
17647	29159	29182
17648	29159	29198
17649	29159	29199
17650	29159	29200
17651	29159	29201
17652	29159	29207
17653	29159	29210
17654	29159	29211
17655	29159	29214
17656	29159	29215
17657	29159	29216
17658	29159	29523
17659	29159	29524
17661	29159	29526
17662	29159	29527
17663	29159	29528
17664	29159	29529
17665	29159	29530
17666	29159	29531
17667	29159	29532
17668	29159	29533
17671	29159	29536
17672	29159	29537
17673	29159	29538
17674	29159	29539
17675	29159	29540
17677	29159	29542
17678	29159	29543
17679	29159	29544
17680	29159	29545
17681	29159	29546
17682	29159	29547
17683	29159	29548
17684	29159	29549
17685	29159	29550
17686	29159	29551
17687	29159	29552
17688	29159	29553
17689	29159	29554
17690	29159	29555
17691	29159	29556
17692	29159	29557
17693	29159	29558
17694	29159	29559
17695	29159	29560
17696	29159	29562
17697	29159	29563
17698	29159	29564
17699	29159	29565
17700	29159	29566
17701	29159	29567
17702	29159	29568
17703	29159	29569
17704	29159	29570
17705	29159	29571
17706	29159	29572
17707	29159	29573
17708	29159	29582
17709	29159	29584
17710	29159	29585
17712	29159	29589
17713	29159	29590
17714	29159	29593
17715	29159	29594
17716	29159	29597
17717	29159	29598
17719	29159	29600
17720	29160	964
17721	29160	2545
17722	29160	2624
17723	29160	2946
17724	29160	3169
17725	29160	3439
17726	29160	4119
17727	29160	4276
17728	29160	4340
17729	29160	4689
17731	29160	4899
17732	29160	5136
17733	29160	5314
17734	29160	5504
17735	29160	5557
17736	29160	5621
17737	29160	12226
17738	29160	13011
17739	29160	13017
17740	29161	345
17741	29161	420
17742	29161	975
17743	29161	1560
17744	29161	2348
17746	29161	2656
17747	29161	3160
17748	29161	4539
17749	29161	5173
17750	29161	5271
17751	29161	5302
17752	29161	5342
17753	29161	12381
17754	29162	2268
17755	29162	2758
17756	29162	3371
17757	29162	3529
17758	29162	3874
17759	29162	4133
17760	29162	4458
17761	29162	5428
17762	29162	5479
17764	29162	5900
17765	29162	12143
17766	29163	14
17767	29163	24
17768	29163	109
17769	29163	173
17770	29163	388
17771	29163	505
17772	29163	536
17773	29163	550
17774	29163	625
17775	29163	832
17776	29163	844
17777	29163	969
17778	29163	980
17779	29163	1096
17780	29163	1169
17781	29163	1260
17782	29163	1305
17783	29163	1359
17784	29163	1427
17785	29163	1579
17786	29163	1821
17787	29163	1839
17788	29163	2035
17789	29163	2037
17790	29163	2164
17791	29163	2186
17792	29163	2235
17793	29163	2295
17794	29163	2310
17795	29163	2420
17796	29163	2495
17797	29163	2502
17798	29163	2555
17799	29163	2558
17800	29163	2569
17801	29163	2728
17802	29163	2805
17803	29163	2874
17804	29163	2976
17805	29163	3218
17806	29163	3310
17807	29163	3406
17808	29163	3434
17809	29163	3570
17810	29163	3605
17811	29163	3803
17812	29163	3937
17813	29163	3964
17814	29163	4046
17815	29163	4117
17816	29163	4222
17817	29163	4236
17818	29163	4267
17819	29163	4320
17820	29163	4354
17821	29163	4484
17822	29163	4503
17823	29163	4786
17824	29163	4835
