affectedgovernmentgisid	affectedgovernment	governmentshape
641	13607	827
642	13602	827
643	13512	827
644	13468	827
645	13596	828
646	13371	828
647	13291	828
648	8113	830
649	3931	831
650	400	832
651	2735	834
652	2549	835
656	182	844
661	1199	847
662	1190	847
663	5583	851
664	9146	852
665	1654	853
666	5539	855
667	13618	856
668	13501	856
669	13374	856
670	5694	861
671	7877	862
673	14770	864
674	9437	866
675	15940	867
676	2898	879
677	13896	869
679	3297	871
680	3303	872
681	1074	873
682	920	873
683	12185	874
684	10747	881
685	13555	883
686	13362	883
687	2340	884
688	10227	885
689	10111	885
690	9954	885
691	13668	887
692	13611	887
693	13606	887
694	13428	887
695	3514	888
696	701	890
698	12537	892
699	12214	892
700	3828	893
702	4326	896
703	4321	896
704	9030	898
705	13628	899
706	13489	899
707	13412	899
708	9131	906
709	7144	907
710	7007	907
711	1250	908
712	13534	909
713	13371	909
714	16053	917
715	4472	918
716	3346	920
717	1294	921
718	1139	921
719	1135	921
720	4675	924
721	4562	924
724	6503	927
725	6495	927
726	15339	928
727	16277	929
728	16226	930
730	6927	951
731	6881	951
732	9937	935
733	9901	935
734	9872	935
735	9829	935
736	3526	938
737	3281	938
738	9900	939
739	9872	939
740	9829	939
741	9818	939
742	9335	940
743	6497	941
744	9872	942
745	9826	942
746	9825	942
747	2145	943
748	3441	944
749	3425	944
750	9060	947
751	13447	950
752	13365	950
753	13348	950
754	2715	958
755	12447	962
756	12407	962
757	652	964
758	16209	966
759	1558	967
760	9538	968
761	811	969
762	805	969
767	2335	973
768	2334	973
769	2327	973
770	16069	974
771	891	975
772	7218	977
773	7457	978
774	10223	979
775	307	980
776	2335	981
777	2331	981
778	2327	981
779	6113	982
780	6439	985
781	13654	986
782	13614	986
783	9397	988
784	11058	991
785	2352	992
786	9436	994
787	14391	995
788	7910	996
789	9308	997
790	1830	1001
791	2124	1003
792	730	1980
793	259	1980
794	7807	1005
795	16140	1080
796	16139	1080
797	4675	1142
798	4558	1142
799	6927	1995
800	6881	1995
802	4481	3285
803	604	1020
804	13400	1021
805	13335	1021
806	16013	1022
807	7891	1026
808	9500	1036
809	2345	1038
810	9308	1039
811	9510	1042
812	1565	1043
813	731	1044
814	4376	1052
815	12139	1053
816	13033	1056
817	7772	1059
818	2790	1063
819	6814	1070
820	9209	1072
821	9305	1074
822	16876	1075
823	3346	1079
824	934	1096
825	933	1096
826	307	1096
827	2784	1177
828	2671	1084
829	7657	1086
830	3569	1095
831	9900	1100
832	9872	1100
833	9829	1100
834	9811	1100
835	9852	1102
836	16284	1105
837	6947	1106
838	8965	1108
843	10202	1126
844	1201	1129
845	1188	1129
846	486	1129
847	13673	1130
848	13612	1130
849	13476	1130
850	13474	1130
851	13469	1130
852	13363	1130
